
236,"О моём перерождении в слизь OVA","Tensei Shitara Slime Datta Ken OVA",#✅
237,"Радиант ТВ-2","Radiant TV-2",#✅
238,"Я не люблю боль, поэтому собираюсь вложить всё в защиту","Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu",#✅
239,"Этот глупый свин не понимает мечту девочки-зайки: Фильм","Seishun Buta Yarou wa Yumemiru Shoujo no Yume o Minai",#✅
240,"Демоны старшей школы","High School DxD",#✅
241,"Демоны старшей школы 2","High School DxD New",#✅
242,"Демоны старшей школы 3","High School DxD Born",#✅
243,"Демоны старшей школы 4","High School DxD Hero",#✅
244,"Магическая академия Атараксия: Гибрид x Сердце","Masou Gakuen HxH",#✅
245,"Башня бога","Kami no Tou",#✅
246,"Восьмой сын, я так не думаю!","Hachi-nan tte, Sore wa Nai deshou!",#✅
247,"Тетрадь Смерти","Death Note",#✅
248,"Эльфийская песнь","Elfen Lied",#✅
249,"Стальной алхимик","Fullmetal Alchemist",#✅
250,"Хантер Х Хантер","Hunter x Hunter",#✅
251,"Хеллсинг: Война с нечистью","Hellsing",#✅
252,"Боец Баки","Grappler Baki (TV)",#✅
253,"Ходячий замок","Howl no Ugoku Shiro",#✅
254,"Невероятное приключение ДжоДжо OVA (2000)","JoJo no Kimyou na Bouken: Adventure",#✅
255,"Невероятное приключение ДжоДжо OVA (1993)","JoJo no Kimyou na Bouken",#✅
256,"Код Гиас: Восставший Лелуш 2","Code Geass: Hangyaku no Lelouch R2",#✅
257,"Волчица и пряности ТВ-1","Ookami to Koushinryou",#✅
258,"Подручный Луизы-Нулизы: Хоровод трёх принцесс","Zero no Tsukaima: Princesses no Rondo",#✅
259,"Подручный Луизы-Нулизы: Хоровод трёх принцесс — Театр любви на ярмарке","Zero no Tsukaima: Princesses no Rondo Picture Drama",#✅
260,"Страна чудес смертников","Deadman Wonderland",#✅
261,"Код Гиас: Восставший Лелуш — Чудо в день рождения","Code Geass: Hangyaku no Lelouch - Kiseki no Birthday",#✅
262,"Ария по прозвищу Алая Пуля: Спецвыпуск","Hidan no Aria: Butei ga Kitarite Onsen Kenshuu",#✅
263,"Иная: Другая — Судьба","Another: The Other - Inga",#✅
264,"Код Гиас: Нанналли в Стране чудес","Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland",#✅
265,"Старшая школа DxD OVA","High School DxD OVA",#✅
266,"Хёка: То, что нужно каждому","Hyouka: Motsubeki Mono wa",#✅
